台灣高鐵 0.00468(115/252)	實價登錄 0.003215(81/248)	汽車公司 0.003134(78/102)	市場競爭 0.002767(67/112)	到現場 0.002686(65/138)	為新台幣 0.002483(55/112)	高雄捷運 0.002361(57/204)	豐田汽車 0.002157(51/67)	高鐵財務 0.002116(52/52)	相關新聞 0.001913(46/116)	
自由經濟 0.022312(529/770)	經濟示範區 0.020131(475/708)	特別條例 0.00864(208/392)	示範區特別 0.006375(164/296)	人認為 0.005075(122/254)	台灣前途 0.004069(100/264)	解決問題 0.003817(103/356)	人士說 0.003272(81/238)	希望未來 0.002726(67/196)	想吃 0.001888(41/106)	
下午4時 0.007002(173/536)	週日台北 0.003298(86/370)	液晶電視 0.002036(49/190)	人死亡 0.001873(44/280)	召開記者會 0.001669(43/822)	老樹 0.001669(41/97)	互動娛樂 0.001547(38/38)	停火協議 0.001466(38/110)	勝選 0.001466(34/85)	軍方表示 0.001466(36/57)	
伊波拉病毒 0.011541(292/292)	高速公路 0.008408(214/264)	都市計畫 0.00702(178/444)	專案小組 0.005077(124/266)	區段徵收 0.00472(118/170)	桃園航空城 0.004482(114/208)	航空城計畫 0.004085(103/114)	上市櫃公司 0.003054(79/152)	監察委員 0.003054(82/506)	人死亡 0.002737(69/280)	
解決問題 0.003897(83/356)	達成共識 0.003405(86/202)	回饋金 0.002995(72/136)	住房專案 0.00279(65/91)	河靜鋼鐵 0.002092(43/128)	工作小組 0.001846(40/141)	全球行銷 0.001764(43/43)	托老中心 0.001682(40/74)	緊急應變 0.001518(39/130)	行銷總經理 0.001518(37/37)	
人才招募 0.003183(74/197)	災區民眾 0.002315(58/142)	國際大 0.002191(55/82)	宣導活動 0.002108(51/112)	現金增資 0.002108(50/118)	災害防救 0.002026(45/146)	募兵政策 0.001943(47/47)	推動募兵 0.00186(44/47)	海軍陸戰隊 0.001778(42/172)	食品公司 0.001736(44/82)	
國民黨團 0.01354(547/555)	監察委員 0.010484(413/506)	條例草案 0.00713(297/348)	立法院黨團 0.006012(242/242)	人事同意權 0.005987(238/405)	監察院人事 0.00564(227/227)	同意權投票 0.005217(210/210)	同意權案 0.004894(197/197)	民進黨立委 0.00405(157/734)	監督條例 0.00405(161/689)	
高雄市政府 0.025226(660/1468)	相關單位 0.0189(476/708)	市長參選人 0.009625(264/712)	國家安全 0.005822(154/422)	公車路線 0.005783(149/200)	交通局長 0.005433(135/251)	當地居民 0.004347(113/356)	民調結果 0.003998(106/326)	事故發生 0.003105(78/122)	今天宣布 0.002911(77/202)	
生技產業 0.007135(171/216)	呼籲民眾 0.006877(149/250)	世界盃足球賽 0.006189(146/220)	女王頭 0.004728(110/110)	2014年3月 0.003654(90/164)	朱立倫表示 0.003138(77/206)	人受傷 0.002794(65/330)	生物科技 0.002665(63/170)	朱立倫說 0.002579(60/116)	暑假期間 0.00245(53/302)	
航空公司 0.020196(521/808)	新北市 0.012613(331/2388)	公益活動 0.006384(158/340)	長榮航空 0.006075(157/186)	愛滋感染 0.003444(89/89)	感染者 0.003405(93/150)	美國經濟 0.003134(84/216)	房仲業者 0.003057(83/216)	生活機能 0.002825(71/184)	客戶需求 0.002322(56/135)	
新北市 0.016565(424/2388)	發言人陳以信 0.010434(260/285)	台灣經濟 0.00678(174/728)	國民黨文傳 0.005725(141/141)	兼發言人 0.005522(135/138)	行政院長江宜樺 0.00536(132/196)	副主委兼 0.004832(119/119)	記者會表示 0.003573(88/210)	體驗活動 0.003492(84/232)	台北市議員 0.003451(85/208)	
台中市政府 0.00957(230/312)	文化園區 0.0036(77/176)	豪大雨 0.003261(81/148)	今天召開 0.002499(56/210)	公司董事長 0.002414(52/320)	新技術 0.002118(49/138)	累積雨量 0.002118(51/127)	想做 0.002033(43/122)	低窪地區 0.001906(45/135)	政治操作 0.001779(42/126)	
大法人 0.00809(198/361)	發展協會 0.006928(162/250)	舉行記者會 0.005559(140/308)	去年10月 0.0039(98/148)	文教基金會 0.003651(85/284)	來自星星 0.003568(87/108)	社區發展 0.003527(83/104)	變形金剛 0.003236(79/182)	基礎設施 0.003195(77/166)	股王大立光 0.003153(70/131)	
政務委員 0.008065(190/222)	發言人孫立群 0.007815(190/262)	行政院發言人 0.007146(168/224)	發布新聞稿 0.006686(157/180)	高雄市府 0.006143(148/212)	報告指出 0.004722(119/344)	永續發展 0.004137(103/262)	新聞稿指出 0.00397(93/108)	國民黨發言人 0.003302(79/185)	孫立群表示 0.003134(73/96)	
預估值 0.005725(139/183)	宗教團體 0.002249(59/124)	山好 0.002249(55/62)	目標價調升 0.002209(54/64)	8月2日 0.002127(49/244)	好山 0.002127(51/58)	詐騙集團 0.002127(53/76)	意外發生 0.001963(48/102)	青年顧問團 0.001922(48/95)	高盛證券 0.001922(48/86)	
陳震遠 0.005639(151/151)	陳震武 0.004145(111/111)	空氣品質 0.0031(85/186)	國民黨中常會 0.003025(82/204)	警方表示 0.002539(68/132)	8月4日 0.002502(67/140)	國際期刊 0.002353(63/63)	教育部長蔣偉寧 0.002054(58/134)	同儕審查 0.001905(51/51)	乙華旅行社 0.00183(49/49)	
重大新聞 0.013732(332/332)	推播通知 0.013691(332/332)	通知快 0.013649(330/330)	快下載 0.013649(330/330)	媒體訪問 0.006659(160/222)	議長黃景泰 0.005832(141/384)	接受媒體 0.005212(125/314)	市長選舉 0.004964(114/299)	報導指出 0.004426(117/498)	基隆市議長 0.003268(79/219)	
智慧手機 0.00759(196/348)	道瓊工業 0.006733(173/173)	指數上漲 0.006422(163/293)	指數下跌 0.005605(146/209)	創新高 0.004904(126/652)	工業指數 0.004865(125/125)	媒體詢問 0.004243(102/280)	費城半導體 0.004165(107/107)	半導體指數 0.004087(105/105)	英國倫敦 0.003931(100/158)	
主席蔡英文 0.016889(518/566)	台獨黨綱 0.015805(481/491)	高雄市長 0.015706(471/772)	服貿協議 0.012421(372/822)	支持者 0.011829(361/526)	民進黨主席 0.011271(339/598)	市長賴清德 0.010252(305/388)	總統大選 0.009956(289/460)	台南市長 0.008478(253/298)	主委曾銘宗 0.006703(203/226)	
亞太電信 0.003966(92/223)	選舉委員會 0.003636(86/140)	亞太電 0.002768(67/91)	不少人 0.002727(58/226)	報告顯示 0.002603(67/150)	新創公司 0.002479(60/84)	公共設施 0.002149(52/176)	金融期貨 0.002066(50/50)	電子期 0.001901(46/46)	競選活動 0.001735(42/109)	
鴻海董事長 0.007956(188/188)	董事長郭台銘 0.005459(128/256)	奈米製程 0.00529(126/178)	郭台銘表示 0.004147(98/98)	營收成長 0.003513(82/199)	鴻海集團 0.002878(65/344)	晶圓代工 0.002497(59/127)	石門水庫 0.002328(54/64)	老董牛肉麵 0.002074(49/49)	行動上網 0.002074(51/143)	
季營收 0.019659(917/943)	季成長 0.007838(368/430)	歷史新高 0.006675(302/928)	合併營收 0.006611(295/1277)	法人預估 0.006094(290/342)	創歷史 0.005168(242/376)	資本支出 0.004522(213/305)	6月營收 0.003768(176/319)	預估今年 0.00351(163/250)	大尺寸 0.00351(162/235)	
身心障礙 0.017054(435/520)	障礙者 0.010537(265/314)	經濟發展 0.007727(221/1042)	台灣人民 0.006478(168/464)	民主法治 0.005425(134/149)	總統表示 0.005347(133/240)	總統說 0.005152(132/350)	勞動力發展 0.004254(105/152)	兩岸人民 0.003825(97/194)	身障者 0.003552(90/148)	
台灣市場 0.005714(131/286)	8月15日 0.003851(90/216)	下午3時 0.003478(85/246)	今年3月 0.00323(81/370)	清算行 0.00323(78/78)	金額新台幣 0.003023(70/191)	集會遊行 0.002443(59/103)	新竹米粉 0.00236(59/109)	搭車 0.002278(58/292)	人民幣清算 0.002112(50/74)	
103年6月 0.021851(532/604)	交換意見 0.006495(166/358)	資本市場 0.005654(150/343)	今天說 0.005453(140/628)	弱勢家庭 0.004972(135/316)	太陽光電 0.004892(121/174)	今年度 0.004531(107/268)	櫃買中心 0.003809(92/209)	預計今年 0.003729(86/280)	社福團體 0.003649(92/218)	
氣候變遷 0.003045(75/360)	颱風外圍 0.002211(49/137)	幹細胞 0.002211(54/92)	購票 0.001877(39/238)	營運模式 0.001794(42/84)	北投纜車 0.00171(41/41)	上海商銀 0.001585(39/45)	天然災害 0.001544(36/58)	醫療團隊 0.001419(32/92)	行政法院 0.001419(36/75)	
年增 0.012766(301/694)	新車 0.012724(298/358)	為例 0.009004(212/836)	業者表示 0.008835(212/346)	市場預期 0.006426(150/358)	今年5月 0.004692(116/354)	台塑化 0.003213(77/80)	業者指出 0.002706(55/156)	節約能源 0.002579(60/73)	買東西 0.002494(56/82)	
開發單位 0.00456(114/122)	環境影響 0.00292(71/160)	環評委員 0.00284(73/92)	系列產品 0.00272(66/165)	台北國際 0.00188(40/332)	綠屋頂 0.0018(44/45)	通過環評 0.00176(44/94)	喝酒 0.00164(41/156)	國際市場 0.00164(48/254)	變形金剛 0.00164(38/182)	
集團董事長 0.007561(193/472)	鴻海集團 0.007316(174/344)	董事長郭台銘 0.004087(100/256)	受歡迎 0.003515(82/242)	產業合作 0.003474(80/154)	大飯店 0.00327(79/448)	公會理事長 0.003188(69/272)	高等法院 0.003147(77/160)	傳播委員會 0.002984(72/82)	通訊傳播 0.002779(65/70)	
大飯店 0.009381(229/448)	經濟部工業局 0.005795(134/216)	馬英九總統 0.004711(107/714)	政治人物 0.004545(116/498)	自由貿易 0.002835(68/474)	研究人員 0.002585(65/174)	公會理事長 0.002168(54/272)	台灣農業 0.002043(47/68)	受到影響 0.001918(43/282)	農委會主委 0.001918(45/62)	
器官捐贈 0.005492(131/131)	筆電 0.003564(83/160)	器官移植 0.002977(71/71)	福利基金會 0.002725(62/120)	報告指出 0.002432(57/344)	世足賽 0.002432(53/400)	電信公司 0.002432(55/158)	中短期均線 0.002013(48/48)	募款活動 0.001887(44/104)	中秋月餅 0.001845(42/73)	
電子商務 0.021768(607/722)	103年7月 0.016811(457/586)	產業發展 0.009095(243/754)	就業機會 0.00492(137/432)	七夕情人節 0.0041(124/184)	新興產業 0.003504(94/138)	積極推動 0.00343(99/410)	軟體園區 0.002684(75/82)	產學合作 0.002647(72/158)	疾病管制 0.002423(62/86)	
紀念活動 0.003971(100/126)	回饋社會 0.003392(77/190)	彰化縣政府 0.003186(76/220)	到台北 0.002979(75/114)	副縣長 0.002441(59/562)	聲明指出 0.002358(64/184)	報名參加 0.00211(55/224)	縣長卓伯源 0.00211(52/134)	造勢活動 0.001696(44/89)	服務人員 0.001572(36/172)	
新產品 0.003683(85/521)	中央銀行 0.003597(89/188)	相關問題 0.002817(65/116)	移轉訂價 0.002774(64/64)	現金股利 0.002557(55/282)	調查報告 0.002514(57/242)	再生能源 0.002037(49/444)	金屬中心 0.001994(48/65)	台北時間 0.001734(39/98)	大陸稅局 0.001734(40/40)	
合宜住宅 0.028933(939/944)	新北市 0.011734(389/2388)	副縣長 0.008337(260/562)	八德合宜 0.008306(269/269)	涉貪 0.007689(253/343)	社會住宅 0.007473(244/792)	地方政府 0.006268(197/1190)	遠雄集團 0.006176(200/203)	住宅政策 0.005249(176/286)	董事長趙藤雄 0.005126(168/168)	
103年8月 0.019816(504/580)	金酒公司 0.004221(108/116)	客家文化 0.003948(106/254)	南韓總統 0.003909(103/186)	8月27日 0.003831(98/146)	總統朴槿惠 0.00344(85/228)	金酒廈門 0.003323(85/85)	廈門公司 0.003244(83/83)	2014年8月 0.002658(70/796)	議長黃景泰 0.00258(65/384)	
做事 0.006286(151/280)	7月3日 0.003143(74/140)	托育資源 0.002694(65/83)	業者吳榮和 0.002368(58/58)	指數下跌 0.002204(54/209)	股東權益 0.002082(50/112)	新創事業 0.002082(47/135)	投資銀行 0.002(49/79)	空氣品質 0.001919(47/186)	防空飛彈 0.001919(44/115)	
智慧型手機 0.03078(895/1126)	平板電腦 0.017564(512/636)	合作夥伴 0.00808(228/298)	手機市場 0.005958(176/192)	再生能源 0.005067(147/444)	做公益 0.004657(142/262)	穿戴式裝置 0.004451(133/198)	供應鏈 0.004006(121/584)	應用程式 0.003698(112/186)	智慧手機 0.003698(106/348)	
當地居民 0.007301(173/356)	難求 0.003074(72/218)	陳菊表示 0.002733(58/138)	陳菊說 0.002605(61/109)	業者說 0.002391(60/154)	海運快遞 0.002306(55/72)	聯成電腦 0.001964(46/46)	地方人士 0.001665(35/158)	快遞貨物 0.001495(35/35)	少女漫畫 0.001367(32/58)	
郝龍斌 0.023134(1015/1432)	中央氣象局 0.013794(604/604)	短暫陣雨 0.013063(572/572)	氣象局表示 0.009021(395/395)	提醒民眾 0.008838(396/426)	午後雷陣雨 0.007605(333/335)	太平洋高壓 0.007034(308/308)	台北市長郝 0.006417(290/440)	外圍環流 0.006143(269/269)	瞬間大雨 0.006098(268/269)	
慈善基金會 0.002893(69/255)	基金會董事長 0.002599(62/148)	控股公司 0.00239(59/112)	台北遠東 0.002264(54/54)	藝術基金會 0.002222(54/54)	台新銀行 0.002096(53/135)	市議員參選人 0.002096(49/98)	文化藝術 0.002012(48/120)	季全球 0.00197(45/83)	議員參選人 0.001929(47/121)	
總統馬英九 0.024383(623/1040)	今天上午 0.011101(281/430)	大股東 0.009933(252/356)	共同決定 0.005259(135/135)	約新台幣 0.005064(128/228)	報導指出 0.004635(118/498)	人民決定 0.00409(104/115)	中國國台辦 0.004051(101/170)	國安會秘書長 0.003467(88/180)	國台辦發言人 0.003389(84/133)	
馬總統 0.066132(2089/2302)	集體自衛權 0.011798(374/381)	日本政府 0.007583(241/384)	總統馬英九 0.00645(199/1040)	美日 0.005443(172/196)	總統說 0.005254(166/350)	人事同意權 0.00516(166/405)	安倍晉三 0.003776(120/120)	國家安全 0.003493(112/422)	總統表示 0.003146(105/240)	
新鮮事 0.040992(1324/1324)	天下新鮮 0.040527(1308/1308)	達志影像 0.025438(820/828)	影像較少 0.01543(498/498)	時間下午 0.014377(452/1758)	台北標準 0.013478(425/3480)	標準時間 0.013447(450/3482)	下午5時 0.008924(285/530)	影音新聞 0.00849(274/274)	達志2014年 0.007994(258/258)	
推薦新聞 0.01699(511/552)	嚴部長 0.00495(148/148)	黃埔建軍 0.00495(148/148)	航空公司 0.003746(117/808)	7月1日 0.003044(88/602)	國軍官兵 0.00291(87/129)	全民國防 0.002542(78/111)	武器裝備 0.002141(64/75)	作業系統 0.002007(60/167)	合作關係 0.00194(54/260)	
合併營收 0.033255(776/1277)	工作人員 0.017487(419/512)	季合併 0.008722(200/341)	值得注意 0.006617(149/376)	成長動能 0.006531(157/402)	求職者 0.006359(146/264)	年增 0.006015(144/694)	6月合併 0.004555(102/145)	文教基金會 0.004426(114/284)	財富管理 0.004426(105/218)	
馬英九總統 0.01091(307/714)	主委王郁琦 0.00837(237/390)	陸委會主委 0.008334(233/396)	主席習 0.004865(133/484)	副主委張顯耀 0.004293(120/149)	醫師柯文哲 0.004221(116/264)	台大醫師 0.004042(111/236)	特任副主委 0.002898(81/81)	家庭因素 0.002826(79/102)	移送調查局 0.00254(71/71)	
供應鏈 0.010982(263/584)	季業績 0.004777(116/315)	法人指出 0.004695(117/274)	調查發現 0.004001(94/210)	相關產品 0.004001(98/194)	高雄地區 0.003062(74/246)	國營事業 0.002736(68/210)	相關產業 0.002572(60/174)	電子商務 0.002409(52/722)	大陸地區 0.002368(55/226)	
大陸市場 0.005337(134/674)	產業園區 0.004191(108/180)	台塑集團 0.003598(97/292)	人數為 0.003123(78/136)	河靜鋼鐵 0.003044(85/128)	彰南產業 0.003005(76/76)	市場需求 0.002728(75/440)	廉價航空 0.00257(65/116)	高產值 0.00257(65/65)	彰化縣政府 0.002451(62/220)	
自治條例 0.007259(177/238)	防空識別區 0.006806(166/189)	救人 0.00363(85/190)	相關訊息 0.003506(82/178)	醫護人員 0.002805(64/156)	管理自治 0.002805(67/86)	飯店業者 0.002434(56/130)	大陸海軍 0.002145(53/76)	台大教授 0.001898(39/58)	世界展望會 0.001856(44/82)	
幸福人壽 0.007648(187/187)	國寶人壽 0.006462(159/295)	石化管線 0.004662(113/528)	請民眾 0.002986(76/170)	8月23日 0.002495(60/72)	容積移轉 0.002413(59/78)	趴趴 0.002372(59/66)	趴走 0.002291(56/58)	接管國寶 0.00225(55/55)	搖滾音樂 0.002004(47/59)	
主計總處 0.009441(227/372)	女學生 0.004571(103/128)	固態硬碟 0.003247(79/133)	主辦單位 0.002094(51/532)	到高雄 0.00188(45/240)	8月15日 0.001795(43/216)	實質薪資 0.001795(39/82)	地方法院 0.001752(35/218)	薪資平均為 0.001752(41/41)	官員指出 0.001666(45/162)	
公共建設 0.004514(111/258)	基地面積 0.003415(83/100)	民間投資 0.002512(63/140)	台灣房屋 0.002434(62/102)	買賣移轉 0.002395(61/71)	移轉棟數 0.002355(62/79)	雙北市 0.002316(58/148)	舉行總統 0.002238(55/83)	總統選舉 0.002198(53/93)	低利率 0.002159(56/114)	
競選連任 0.004129(98/182)	人說 0.002912(64/270)	巴克萊證券 0.002651(61/64)	柯文哲表示 0.002434(53/166)	金融業者 0.00226(52/66)	7月31日 0.001999(47/288)	運動控制 0.001999(46/52)	人士認為 0.001782(41/130)	受訪者 0.001739(43/294)	下午出席 0.001695(43/67)	
地方政府 0.027946(739/1190)	保險公司 0.011771(295/406)	人才招募 0.003625(93/197)	官員表示 0.003352(88/444)	8月29日 0.003079(79/118)	身心障礙 0.002963(73/520)	附加價值 0.002963(74/214)	租金補貼 0.002729(71/222)	勞退基金 0.002339(60/108)	金融危機 0.002222(53/100)	
來台 0.063431(2460/2678)	兩岸關係 0.028432(1098/1526)	國台辦主任 0.02359(908/968)	主任張志軍 0.023462(904/954)	大陸國台辦 0.009993(395/628)	和平發展 0.00989(384/390)	台灣民眾 0.006361(239/560)	關係和平 0.00546(212/212)	訪台 0.004198(179/858)	兩岸經貿 0.003606(143/328)	
冰桶挑戰 0.011905(318/318)	凍人協會 0.004867(127/148)	接受挑戰 0.003482(92/132)	凍人募款 0.003445(92/92)	挑戰者 0.002247(59/66)	淋冰水 0.002247(60/60)	台日通 0.002247(60/60)	國際金融 0.002172(60/165)	新聞網2014年 0.002134(55/69)	完成冰桶 0.002134(57/57)	
基金經理人 0.016803(717/824)	貨幣政策 0.006208(266/346)	今天說 0.005554(229/628)	企業獲利 0.005554(237/251)	法人表示 0.005344(230/447)	歐洲央行 0.004504(187/212)	地緣政治 0.004388(189/218)	資料顯示 0.003967(163/536)	優於預期 0.002777(119/237)	印度股市 0.002474(106/106)	
臉書 0.031928(748/1060)	無人 0.003595(78/540)	穿戴裝置 0.00351(78/234)	下午1時 0.002834(65/110)	8月8日 0.002665(63/140)	8月31日 0.00258(60/144)	永續發展 0.002369(56/262)	行動支付 0.002284(58/91)	無線充電 0.002242(51/127)	俄羅斯總統 0.002157(50/114)	
歷史新高 0.022674(537/928)	新高紀錄 0.002767(59/370)	人士表示 0.002599(53/246)	投資股票 0.002515(59/85)	科技園區 0.002389(56/88)	參加活動 0.002222(54/96)	剩餘天數 0.00218(53/82)	目前市場 0.002138(47/120)	來台灣 0.00197(49/286)	上櫃權證 0.001928(46/46)	
馬來西亞航空 0.004264(132/146)	交通部觀光局 0.003751(112/300)	飛彈擊落 0.003623(113/198)	宣布參選 0.003142(101/273)	馬航班機 0.003078(96/98)	台灣觀光 0.003014(91/266)	烏克蘭危機 0.002757(86/105)	總統蒲亭 0.002725(84/85)	分離主義 0.002405(76/179)	烏克蘭政府 0.002373(74/74)	
罹難者 0.0192(447/784)	代表處 0.011269(260/286)	中華民國駐 0.005678(128/162)	駐美 0.004898(113/122)	美代表 0.004161(97/104)	和平電廠 0.003034(70/70)	今天宣布 0.002818(59/202)	跨領域 0.002514(59/98)	台灣加入 0.001907(45/162)	看電視 0.001907(35/118)	
海外市場 0.003734(84/174)	編列預算 0.002312(49/180)	育成中心 0.001823(42/126)	方便民眾 0.001734(39/93)	澎湖空難 0.001512(33/226)	級分 0.001512(32/130)	金融債 0.001467(33/122)	相關訊息 0.001423(33/178)	亞洲國家 0.001423(28/172)	李小妹 0.001334(30/30)	
人工生殖 0.008797(203/203)	修正草案 0.003641(91/286)	不孕夫妻 0.003424(79/83)	員工加薪 0.002427(53/130)	雙邊關係 0.002297(55/126)	生殖補助 0.002297(53/53)	城鄉發展 0.002254(52/79)	英國政府 0.002254(53/66)	發展條例 0.002037(46/89)	日前表示 0.001951(48/94)	
國是會議 0.011305(460/468)	經貿國是 0.010611(430/440)	主席習 0.007214(292/484)	區域經濟 0.007091(283/394)	經濟整合 0.007066(287/303)	夥伴協定 0.006372(257/257)	中國大陸 0.005553(223/4584)	大陸國家 0.005529(227/634)	經濟合作 0.004884(184/480)	國家主席 0.004661(181/624)	
標準時間 0.086594(3031/3482)	台北標準 0.08648(3055/3480)	時間上午 0.050257(1770/1782)	時間下午 0.036763(1306/1758)	2014年6月 0.025399(899/920)	中央社2014年 0.024262(854/854)	週四台北 0.018666(657/804)	週三台北 0.014773(522/610)	上午6時 0.012586(451/624)	拍攝者 0.01233(441/476)	
8月1日 0.010332(240/438)	模範父親 0.004616(109/121)	7月1日 0.004235(97/602)	中共海軍 0.003642(86/100)	遠雄建設 0.0036(83/146)	活動期間 0.003388(79/322)	7月30日 0.002795(70/158)	主管指出 0.002329(57/112)	全家便利商店 0.002287(56/126)	建設董事長 0.00216(49/82)	
看得到 0.002771(67/158)	機車騎士 0.002564(61/115)	開發商 0.002275(56/186)	每日郵報 0.002192(51/128)	應用程式 0.002068(49/186)	受歡迎 0.001985(45/242)	為主題 0.001944(45/138)	宜蘭縣政府 0.001861(47/80)	瓶用聚酯 0.001861(45/48)	協會理事長 0.00182(54/388)	
達人 0.008976(245/414)	台北國際 0.005923(149/332)	金融海嘯 0.003863(103/272)	大陸政府 0.00309(78/234)	南港展覽館 0.003054(84/97)	線上報名 0.00298(82/100)	全球市場 0.002833(77/174)	台灣分公司 0.002465(68/76)	競爭激烈 0.002391(64/186)	投資說明會 0.002318(63/63)	
台投資 0.002616(67/136)	財政部長張盛和 0.002494(64/152)	彰化藝術館 0.002126(52/52)	合一課稅 0.001921(48/131)	社會各界 0.001799(41/190)	新竹縣長 0.001635(41/96)	總統大選 0.001635(33/460)	高壓氣體 0.001554(38/38)	老人年金 0.001472(34/58)	報名參加 0.001349(31/224)	
