資源回收 0.003298(87/238)	生物多樣性 0.002453(60/248)	生態旅遊 0.002293(55/117)	客家文化 0.002132(53/254)	高雄市環保局 0.001287(31/70)	農業發展 0.001287(31/84)	生活型態 0.001207(32/68)	穩坐 0.001207(29/40)	今年特別 0.001167(25/120)	成為台灣 0.001126(23/226)	
高雄氣爆 0.040953(2280/2368)	氣爆事件 0.022547(1264/1320)	高雄市政府 0.020127(1109/1468)	氣爆意外 0.007205(402/402)	2014年8月 0.006721(356/796)	李長榮化工 0.006237(342/362)	發生氣爆 0.005144(289/302)	氣爆傷亡 0.004911(274/274)	石化氣爆 0.00466(259/310)	專輯轟街 0.004624(258/258)	
壽險公司 0.006084(163/273)	人士指出 0.003967(95/370)	海外投資 0.003427(89/167)	中元普渡 0.002773(71/114)	福利基金會 0.002157(53/120)	國內生產 0.002118(49/146)	優惠活動 0.002118(62/136)	營養午餐 0.002118(52/158)	庇護工場 0.00208(58/96)	滬港通 0.00181(46/56)	
成交金額 0.011193(306/456)	股價指數 0.008422(234/234)	上市公司 0.006659(185/260)	今年4月 0.005939(162/366)	加權股價 0.005795(161/162)	資產管理 0.003599(102/216)	台北股市 0.003563(108/355)	證券交易所 0.003527(96/152)	股市今天 0.003168(87/247)	指數成為 0.003024(84/84)	
中共中央 0.003449(103/272)	停車格 0.002474(72/86)	開除黨籍 0.001847(54/109)	業者表示 0.001812(54/346)	大漲 0.001673(47/130)	中央軍委 0.001568(43/126)	人生大事 0.001498(43/47)	戰鬥民族 0.001359(39/41)	俄羅斯新人 0.001289(37/37)	人變成 0.001289(37/37)	
經濟成長 0.021766(800/864)	台灣經濟 0.010479(387/728)	經濟成長率 0.010345(380/416)	大陸經濟 0.009456(356/492)	推薦新聞 0.008216(311/552)	全球經濟 0.005711(220/366)	中國大陸 0.003071(129/4584)	季經濟 0.00299(111/183)	經濟合作 0.002829(105/480)	經濟發展 0.002802(103/1042)	
外銷訂單 0.004457(118/118)	公民團體 0.003928(100/274)	營收達 0.003626(97/239)	立法院臨時會 0.003626(101/301)	商業營業額 0.003551(92/99)	月正成長 0.003324(87/95)	創歷年 0.003098(80/158)	創下歷年 0.002833(72/94)	相關問題 0.002342(65/116)	去年同月 0.002229(56/110)	
統一渡假村 0.007345(205/205)	鹿港文創 0.005697(159/159)	創會館 0.00541(151/151)	江院長 0.003834(110/166)	日本政府 0.003583(99/384)	障礙者 0.003117(84/314)	7月10日 0.002974(84/148)	官方網站 0.002616(78/130)	身心障礙 0.002616(75/520)	身障者 0.002508(72/148)	
復興航空 0.01421(470/668)	罹難者 0.00426(146/784)	教宗方濟 0.003743(123/190)	澎湖空難 0.00283(89/226)	復興空難 0.002313(76/81)	馬公機場 0.002282(74/108)	空難事件 0.001978(63/82)	班機墜毀 0.001917(63/64)	者家屬 0.001856(64/258)	澎湖馬公 0.001826(59/60)	
基隆市長 0.019649(789/789)	年增 0.00675(266/694)	國民黨提名 0.006(243/266)	參選基隆 0.005625(225/225)	為例 0.00455(186/836)	議長黃景泰 0.004375(171/384)	黨中央 0.0041(165/490)	市長選舉 0.003825(153/299)	文教基金會 0.0038(151/284)	工作人員 0.00345(124/512)	
中國政府 0.003318(85/282)	人才招募 0.002739(71/197)	精品業者 0.002546(66/66)	8月1日 0.002508(67/438)	副主委張顯耀 0.002006(51/149)	中國企業 0.001929(46/84)	報導稱 0.00189(55/160)	學員們 0.001775(43/114)	預期未來 0.001698(40/80)	從業人員 0.001659(43/122)	
創下歷史 0.005322(133/248)	工業電腦 0.003456(87/143)	廈門公司 0.003297(83/83)	年成長 0.002741(70/157)	亞洲市場 0.002701(67/132)	產險公司 0.002542(65/76)	今年2月 0.002066(49/266)	2014年2月 0.001827(41/128)	金酒公司 0.001708(44/116)	業績成長 0.001629(37/230)	
中國國民黨 0.005351(143/416)	海峽兩岸 0.004597(125/350)	發展協會 0.004183(113/250)	模範父親 0.003806(101/121)	社區發展 0.003467(92/104)	歡迎民眾 0.002826(69/204)	修正草案 0.002675(76/286)	服務貿易 0.0026(68/313)	需要幫助 0.002073(52/108)	貿易協議 0.002073(56/339)	
經濟發展 0.018011(471/1042)	馬英九總統 0.012627(329/714)	總統說 0.010428(279/350)	總統表示 0.008418(220/240)	台灣人民 0.007129(188/464)	民主法治 0.005385(142/149)	呼籲民眾 0.005043(132/250)	修正草案 0.004095(112/286)	兩岸人民 0.003754(99/194)	大陸當局 0.003527(93/134)	
中華電信 0.014188(404/1046)	代表處 0.007717(221/286)	副總統吳敦義 0.005814(178/356)	集團旗下 0.00526(139/382)	公司董事長 0.004464(127/320)	金融機構 0.004222(129/352)	中華民國駐 0.004187(114/162)	科技公司 0.003876(113/262)	元大寶來 0.003634(103/260)	就職典禮 0.003184(91/176)	
新聞相關 0.08576(2424/2914)	相關影音 0.082436(2353/2756)	馬總統 0.072674(2103/2302)	國民黨立委 0.012562(361/486)	縣長吳志揚 0.009727(278/374)	召開記者會 0.006963(197/822)	副縣長 0.006473(181/562)	總統馬英九 0.006403(173/1040)	桃園縣長 0.006333(182/240)	人事同意權 0.005774(164/405)	
再生能源 0.005786(141/444)	人士說 0.004104(97/238)	吸金 0.00275(72/170)	綠色電價 0.002462(60/60)	台灣再生 0.002216(54/56)	空軍基地 0.002134(48/100)	一般民眾 0.002052(46/240)	造勢活動 0.002052(51/89)	能源會議 0.001888(47/68)	約新台幣 0.001847(46/228)	
中華電信 0.012069(378/1046)	台灣大 0.006831(210/214)	台灣大哥大 0.006441(198/198)	遠傳電信 0.00475(144/182)	開賣 0.003318(96/207)	電信業者 0.003253(106/284)	亞太電信 0.00257(83/223)	監察委員 0.00244(75/506)	自有品牌 0.002375(68/152)	達人 0.002212(70/414)	
新北市 0.038712(1334/2388)	房仲業者 0.005144(178/216)	市場需求 0.004762(164/440)	北市政府 0.004027(142/188)	生活機能 0.003939(129/184)	住商不動產 0.003674(125/125)	馬政府 0.003351(113/612)	今年3月 0.00294(97/370)	雙北市 0.002851(96/148)	實價登錄 0.002705(88/248)	
地方政府 0.02575(679/1190)	穿戴裝置 0.005165(140/234)	研究中心 0.002621(70/306)	海外說明會 0.002279(60/60)	行動支付 0.002051(53/91)	8月4日 0.001899(52/140)	穿戴式裝置 0.001557(46/198)	8月7日 0.00152(41/280)	靈泉禪寺 0.001444(38/38)	為靈感 0.001406(36/54)	
十二年國教 0.010495(351/352)	12年國教 0.009928(333/404)	免試入學 0.008169(275/275)	特色招生 0.004979(167/167)	級分 0.003697(124/130)	基北區 0.00319(107/107)	志願序 0.003011(102/129)	國中會考 0.002922(95/117)	購票 0.002624(87/238)	選填志願 0.002534(85/112)	
國民黨團 0.013373(551/555)	監察委員 0.01021(423/506)	今天表示 0.008086(328/1074)	條例草案 0.006976(300/348)	監督條例 0.006107(249/689)	立法院黨團 0.005842(242/242)	人事同意權 0.005793(241/405)	監察院人事 0.00548(227/227)	同意權投票 0.005069(210/210)	同意權案 0.004707(195/197)	
中國大陸 0.125144(3895/4584)	媒體報導 0.019089(602/830)	美國總統 0.010389(324/462)	總統歐巴馬 0.008063(252/400)	國家主席 0.006246(196/624)	大陸國家 0.005705(182/634)	競爭對手 0.004972(162/326)	消息人士 0.004812(159/378)	大陸國務院 0.004589(150/322)	美國政府 0.003856(118/276)	
人受傷 0.006561(179/330)	靖國神社 0.005158(136/136)	人死亡 0.004286(116/280)	觀光旅遊 0.004058(108/342)	區域經濟 0.003148(82/394)	調查報告 0.002655(67/242)	主管表示 0.002465(62/132)	資本市場 0.002465(63/343)	大螢幕 0.002238(60/136)	新藥 0.002162(53/454)	
國際機場 0.00775(215/308)	洽詢電話 0.005279(144/302)	勞動部 0.005167(137/460)	政務委員 0.004193(107/222)	工作機會 0.004193(115/320)	行政院政務 0.003894(103/116)	空氣品質 0.002471(64/186)	統計局 0.002209(60/98)	少女漫畫 0.002172(58/58)	事業單位 0.002134(58/128)	
標準時間 0.081507(3446/3482)	台北標準 0.081436(3444/3480)	時間下午 0.041569(1758/1758)	時間上午 0.031922(1348/1782)	中央社2014年 0.020194(854/854)	2014年6月 0.019603(810/920)	週四台北 0.016812(704/804)	週三台北 0.014046(596/610)	新鮮事 0.012367(538/1324)	天下新鮮 0.012343(525/1308)	
中華電信 0.007773(212/1046)	現金股利 0.004547(119/282)	受訪者 0.004217(113/294)	民調顯示 0.004217(117/194)	新竹米粉 0.003997(109/109)	民意調查 0.003593(95/108)	新民調 0.00297(85/117)	獲利表現 0.002603(77/178)	晶英酒店 0.002493(65/81)	抽樣誤差 0.002347(63/68)	
基金經理人 0.015609(799/824)	新興市場 0.009924(501/942)	法人表示 0.005783(298/447)	貨幣政策 0.00506(261/346)	企業獲利 0.004689(241/251)	地緣政治 0.00422(216/218)	歐洲央行 0.004142(211/212)	資料顯示 0.003614(169/536)	高收益 0.003497(183/485)	經濟數據 0.003341(171/206)	
103年6月 0.007251(189/604)	交換意見 0.005317(131/358)	公共建設 0.003607(98/258)	7月15日 0.002417(56/172)	6月13日 0.00212(58/132)	基地面積 0.002008(54/100)	青田青 0.001934(52/52)	寶舖建設 0.001859(50/50)	幻象戰機 0.001822(49/59)	中短期均線 0.001785(48/48)	
國家公園 0.00366(97/484)	今天報導 0.003082(77/244)	國關係 0.002812(71/174)	調查發現 0.002119(53/210)	島國家 0.002042(53/53)	外貿協會 0.001926(45/230)	土地開發 0.001888(44/104)	兩岸民間 0.001888(49/49)	不少人 0.001849(47/226)	現代汽車 0.001772(46/48)	
自由經濟 0.020445(678/770)	經濟示範區 0.018666(615/708)	特別條例 0.008293(270/392)	民進黨主席 0.00775(260/598)	示範區特別 0.006815(233/296)	主席蔡英文 0.004976(172/566)	蔡主席 0.004554(151/151)	發布新聞稿 0.004312(142/180)	陳以信表示 0.004252(143/169)	國民黨發言人 0.00386(130/185)	
中央公園 0.004928(132/200)	國家風景區 0.004526(125/140)	風景區管理處 0.003249(89/110)	中心主任 0.003066(85/414)	國際油價 0.002957(81/207)	遊客中心 0.002774(79/137)	警方表示 0.002519(69/132)	雲嘉南 0.002373(67/88)	運分析 0.001898(52/52)	管理處表示 0.001825(50/54)	
大法人 0.007065(186/361)	都市計畫 0.005943(157/444)	手機遊戲 0.004149(112/122)	總統大選 0.003962(99/460)	消費滿 0.003888(112/248)	股王大立光 0.002766(71/131)	印尼總統 0.002654(71/73)	線上遊戲 0.002617(73/134)	月新高 0.002355(61/153)	選舉委員會 0.002243(57/140)	
兩岸關係 0.029336(1501/1526)	國台辦主任 0.018919(968/968)	主任張志軍 0.018645(954/954)	來台 0.013603(695/2678)	訪台 0.009421(481/858)	大陸國台辦 0.008561(441/628)	台灣民眾 0.006665(332/560)	陸委會主委 0.006665(339/396)	主委王郁琦 0.00643(332/390)	大陸市場 0.005648(281/674)	
國營事業 0.003413(93/210)	交通運輸 0.00285(73/142)	新竹市長 0.00255(69/112)	都市更新 0.002513(62/342)	香港馬會 0.002288(61/61)	集會遊行 0.00225(60/103)	趴趴 0.002213(62/66)	趴走 0.00195(50/58)	交通部長葉匡時 0.001875(45/184)	事業預算 0.001838(49/49)	
台北市長參選人 0.017683(450/1282)	8月2日 0.006583(174/244)	七夕情人節 0.005882(150/184)	報告顯示 0.003116(77/150)	代理孕母 0.002376(61/61)	新創公司 0.00222(55/84)	經濟政策 0.001987(49/137)	黨主席蔡英文 0.001948(48/121)	雙邊關係 0.001909(47/126)	英國政府 0.001909(50/66)	
願景 0.004957(141/326)	高雄捷運 0.003048(81/204)	實價登錄 0.002681(75/248)	和平電廠 0.002571(70/70)	經營團隊 0.002497(68/160)	觸控面板 0.00191(52/111)	台灣三星 0.001726(48/62)	宜蘭縣政府 0.001726(43/80)	老爺酒店 0.001726(45/128)	樂華夜市 0.001653(45/56)	
上午10時 0.005994(160/340)	國會議員 0.003872(108/236)	競選團隊 0.002904(77/193)	當地時間 0.002718(77/250)	指數今天 0.002346(63/63)	成交張數 0.002271(61/66)	上午8時 0.002197(60/282)	中午12時 0.002048(61/117)	行政法院 0.002048(56/75)	加權指數 0.001973(50/219)	
強陣風 0.006061(159/311)	大股東 0.005675(151/356)	報導指出 0.004632(119/498)	身心障礙 0.003166(80/520)	金融服務 0.003088(78/172)	租金補貼 0.00305(86/222)	8月29日 0.002934(82/118)	商業銀行 0.002818(74/157)	新舞臺 0.002587(65/68)	日本東京 0.002471(63/156)	
行動裝置 0.008069(204/422)	新北市政府 0.006679(172/470)	新聞專輯 0.005212(135/388)	宏達電 0.00444(109/211)	行動通訊 0.002935(79/148)	科技大學 0.002857(72/370)	難求 0.002741(71/218)	就業市場 0.00251(62/150)	派人 0.00251(63/162)	投資股票 0.002278(61/85)	
議長黃景泰 0.007696(213/384)	高速公路 0.007549(200/264)	接受媒體 0.00707(198/314)	發言人陳以信 0.006371(169/285)	台灣經濟 0.005487(146/728)	媒體訪問 0.005413(141/222)	基隆市議長 0.004382(116/219)	市長選舉 0.004161(110/299)	訪台 0.003646(97/858)	勞動力發展 0.003535(101/152)	
季營收 0.015709(938/943)	合併營收 0.009185(559/1277)	供應鏈 0.008516(507/584)	智慧型手機 0.007579(443/1126)	季成長 0.006776(402/430)	法人預估 0.005722(342/342)	季業績 0.005253(313/315)	歷史新高 0.004283(254/928)	平板電腦 0.004166(250/636)	年增 0.004015(247/694)	
行政院長江 0.023611(624/728)	長江宜樺 0.021621(574/702)	相關單位 0.017342(466/708)	民進黨立委 0.013776(364/734)	江宜樺 0.009647(261/300)	創新高 0.009309(251/652)	當地居民 0.008183(223/356)	今天表示 0.006945(180/1074)	7月營收 0.003641(100/251)	週日台北 0.003078(80/370)	
特任副主委 0.002846(81/81)	國家安全 0.002775(73/422)	移送調查局 0.002494(71/71)	馬術治療 0.002424(69/69)	副主委張顯耀 0.002389(68/149)	工作疑點 0.002354(67/67)	陸委會副主委 0.002284(67/222)	專案小組 0.002178(64/266)	張顯耀去職 0.002178(61/77)	公司表示 0.002073(60/290)	
原物料 0.004146(105/190)	加密手機 0.004031(105/105)	成交比重 0.00238(62/62)	沒錢 0.002035(56/128)	市民代表 0.002035(54/89)	世界盃足球賽 0.001843(46/220)	高檔震盪 0.001805(47/115)	平衡基金 0.001613(42/46)	多重收益 0.001613(42/42)	報名參加 0.001574(41/224)	
人工生殖 0.007323(203/203)	海峽兩岸 0.002994(80/350)	不孕夫妻 0.00285(79/83)	北原礦業 0.002345(65/65)	水源水質 0.002309(63/67)	公益活動 0.001948(54/340)	公共藝術 0.001948(54/58)	生殖補助 0.001912(53/53)	專家認為 0.001876(50/152)	藝術中心 0.001696(45/74)	
服務品質 0.006922(174/268)	社會責任 0.004028(98/338)	同業公會 0.003011(78/274)	全球市場 0.002777(71/174)	半導體產業 0.002777(72/148)	法人看好 0.002542(67/130)	研發中心 0.002308(58/95)	新台灣 0.002268(58/64)	台灣國策 0.00219(56/56)	國策智庫 0.002073(54/54)	
主辦單位 0.012366(319/532)	環境保護 0.005978(152/274)	今天下午 0.005641(156/406)	永續經營 0.003138(86/140)	投資者 0.002503(66/362)	全國電子 0.002354(66/135)	停火協議 0.002205(57/110)	偏鄉 0.002055(54/64)	石門水庫 0.002055(55/64)	8月31日 0.001943(57/144)	
搭車 0.006201(168/292)	台北國際 0.005788(155/332)	黃埔建軍 0.005525(148/148)	7月1日 0.005262(142/602)	試營運 0.004134(108/212)	南韓總統 0.003608(97/186)	總統朴槿惠 0.00312(85/228)	下午3時 0.003082(80/246)	南港展覽館 0.002443(64/97)	運輸工具 0.002218(58/130)	
自由貿易 0.002463(67/474)	山坡地住宅 0.002165(58/58)	達成共識 0.001754(51/202)	6月26日 0.001418(40/218)	平面媒體 0.001381(39/100)	運動休閒 0.001232(34/78)	特別注意 0.001157(31/208)	縣府建設處 0.001157(31/35)	事涉 0.00112(29/64)	大都會歌劇院 0.00112(29/36)	
