今天表示 0.017383(459/1074)	太陽花 0.006654(179/416)	花學運 0.00572(154/382)	大陸官方 0.00501(137/286)	房地產市場 0.003813(102/232)	經濟復甦 0.00344(91/222)	社會福利 0.003402(95/286)	網站上 0.002692(74/128)	空品淨化區 0.002617(70/70)	景氣復甦 0.002542(68/178)	
醫師柯文哲 0.005793(158/264)	台大醫師 0.005365(145/236)	上午11時 0.003382(93/404)	國際油價 0.003033(80/207)	參選台北市長 0.002916(74/197)	統一超 0.002294(56/95)	季稅 0.002216(54/142)	合作關係 0.0021(57/260)	捷運局長 0.001983(51/66)	大學教授 0.001944(55/184)	
區域經濟 0.011657(364/394)	經濟整合 0.008172(246/303)	夥伴協定 0.008141(257/257)	跨太平洋 0.005322(168/168)	經濟合作 0.005227(166/480)	貿易協定 0.004466(141/328)	中國大陸 0.004308(134/4584)	貿易夥伴 0.004308(135/139)	太平洋夥伴 0.00415(131/151)	亞太電信 0.00396(125/223)	
新北市政府 0.008905(222/470)	財團法人 0.004055(98/290)	觀光旅遊局 0.002982(80/200)	民間投資 0.002863(73/140)	觀光景點 0.002743(73/214)	自行車道 0.002704(69/152)	旅遊行程 0.002664(68/142)	休閒農業 0.002425(60/72)	運分析 0.002068(52/52)	年輕族群 0.001948(55/230)	
監督條例 0.012874(347/689)	兩岸協議 0.010357(299/581)	協議監督 0.009098(258/503)	都市計畫 0.006113(173/444)	區段徵收 0.004387(122/170)	專案小組 0.003704(106/266)	桃園航空城 0.003524(99/208)	航空城計畫 0.003488(95/114)	今天下午 0.003452(92/406)	經濟合作 0.003201(87/480)	
新聞專輯 0.006799(192/388)	身心障礙 0.006509(181/520)	參賽者 0.00405(116/132)	8月29日 0.0034(92/118)	巴西世界盃 0.003327(91/100)	請民眾 0.002712(71/170)	租金補貼 0.002532(71/222)	總統大選 0.002495(68/460)	七股海鮮節 0.002387(66/66)	國家公園 0.002025(53/484)	
人才招募 0.005859(165/197)	推薦新聞 0.005216(153/552)	海軍陸戰隊 0.005109(139/172)	全民國防 0.003716(104/111)	學員們 0.003001(86/114)	志願士兵 0.002822(79/79)	宣導活動 0.002572(70/112)	後備指揮部 0.002572(71/83)	沒人 0.002465(61/364)	災害防救 0.002037(54/146)	
集體自衛權 0.010824(370/381)	彭博報導 0.007986(281/394)	日本政府 0.006641(223/384)	美日 0.005178(177/196)	人工生殖 0.00395(135/203)	安倍晉三 0.003247(110/120)	日本首相 0.003218(113/204)	融資餘額 0.00313(108/114)	觀光工廠 0.003101(105/174)	首相安倍 0.002838(98/120)	
行政院長江 0.020039(519/728)	長江宜樺 0.019396(513/702)	民進黨立委 0.018867(508/734)	江宜樺 0.008054(209/300)	實價課稅 0.005256(144/390)	美國商會 0.003403(92/106)	中國政府 0.00329(88/282)	中央銀行 0.003214(91/188)	黨中央 0.003138(82/490)	就職典禮 0.002836(74/176)	
家扶中心 0.013008(349/353)	國會議員 0.003813(112/236)	公共工程 0.001869(48/146)	家扶兒 0.001757(47/62)	臺中市政府 0.001608(44/104)	雲林家扶 0.001495(38/40)	酸糖果 0.001421(38/38)	青年朋友 0.001346(39/92)	中心主任 0.001309(29/414)	文化創意 0.001309(40/156)	
董事長郭台銘 0.009182(253/256)	鴻海集團 0.009146(259/344)	客家文化 0.00911(254/254)	鴻海董事長 0.006743(188/188)	投資者 0.006635(181/362)	集團董事長 0.00642(180/472)	協會理事長 0.006312(178/388)	中共中央 0.004232(125/272)	業者表示 0.003085(88/346)	產業合作 0.002941(90/154)	
機械手臂 0.003689(96/100)	今天召開 0.002344(58/210)	香港馬會 0.002344(61/61)	新技術 0.001922(47/138)	官方網站 0.001806(53/130)	特別條例 0.00173(45/392)	氯乙烯 0.001384(36/60)	主題樂園 0.001384(36/132)	大陸進口 0.001384(37/49)	示範區特別 0.001307(32/296)	
外貿協會 0.005547(142/230)	女學生 0.003645(89/128)	海峽兩岸 0.003606(84/350)	者家屬 0.002853(75/258)	科技產業 0.002774(78/148)	中共中央 0.002576(73/272)	跨部會 0.002536(66/132)	專家學者 0.002457(72/186)	遠通公司 0.002457(60/90)	摩根大通 0.002298(59/105)	
103年8月 0.017376(458/580)	統一渡假村 0.007468(201/205)	鹿港文創 0.005879(159/159)	創會館 0.005583(151/151)	科技大學 0.004585(132/370)	修正草案 0.004474(118/286)	7月10日 0.002588(69/148)	渡假村鹿港文 0.002477(67/67)	相關規定 0.00244(63/272)	交通部觀光局 0.002293(67/300)	
分離主義 0.004418(127/179)	飛彈擊落 0.003955(112/198)	安全衛生 0.003456(96/120)	馬航班機 0.003456(98/98)	高美濕地 0.002565(73/114)	衛生管理法 0.002494(70/70)	大腸桿菌群超標 0.002423(68/68)	馬航客機 0.002316(68/100)	都市更新 0.002174(67/342)	救援小組 0.002138(60/60)	
美國經濟 0.003282(84/216)	海峽兩岸 0.002709(68/350)	公益路跑 0.002404(64/64)	高檔震盪 0.002366(60/115)	服務中心 0.001985(55/326)	台北舉行 0.00187(46/60)	乙華旅行社 0.00187(49/49)	積極推動 0.001832(40/410)	審慎樂觀 0.001794(49/148)	成交比重 0.001756(44/62)	
國寶人壽 0.011244(295/295)	幸福人壽 0.007128(187/187)	社福團體 0.004727(122/218)	水資源 0.003431(89/190)	研究中心 0.003012(76/306)	鹿港天后宮 0.002364(62/104)	接管國寶 0.002097(55/55)	弱勢族群 0.002021(53/240)	合作計畫 0.001944(50/108)	保險公司 0.001944(49/406)	
國營事業 0.005068(122/210)	貿易協定 0.004071(95/328)	到高雄 0.003905(97/240)	國道收費員 0.003739(86/164)	達成共識 0.002451(55/202)	收費員自救會 0.002368(57/92)	世界貿易 0.002244(55/110)	台中航空站 0.002119(51/51)	貿易組織 0.001953(49/100)	運動控制 0.001911(46/52)	
郝龍斌 0.029622(1322/1432)	台北市長參選人 0.018967(840/1282)	參選人連勝文 0.016399(728/728)	國民黨台北市長 0.012705(564/564)	台北市長郝 0.008785(389/440)	參選人柯文哲 0.00811(358/540)	柯文哲說 0.007118(317/334)	在野整合 0.006623(294/294)	台北市政府 0.00428(190/372)	競選總幹事 0.004123(185/188)	
今天說 0.015416(401/628)	防空識別區 0.006918(175/189)	經濟發展 0.00585(142/1042)	同業公會 0.003281(81/274)	科技大學 0.002925(76/370)	金城武 0.002925(73/102)	國家發展 0.002886(68/208)	公會理事長 0.002491(63/272)	公共建設 0.002491(65/258)	產學合作 0.002293(61/158)	
政治人物 0.011205(272/498)	民進黨主席 0.008404(209/598)	2014年7月 0.007724(204/760)	參選人柯文哲 0.007203(182/540)	自由時報2014年 0.005082(126/316)	調查報告 0.003042(79/242)	競選辦公室 0.002962(67/181)	金融債 0.002802(70/122)	資料顯示 0.002681(68/536)	6月29日 0.002441(59/190)	
主辦單位 0.008159(218/532)	指揮中心 0.003452(92/154)	受害者 0.003452(94/176)	下午4時 0.00302(85/536)	中心主任 0.002824(71/414)	沒有人 0.002589(64/320)	精品業者 0.002589(66/66)	者家屬 0.002471(64/258)	行政部門 0.002236(55/123)	台大醫院 0.002158(55/150)	
歷史新高 0.021517(587/928)	為例 0.016129(439/836)	年增 0.010376(291/694)	馬政府 0.008228(233/612)	市場預期 0.006117(169/358)	7月1日 0.005644(141/602)	業者表示 0.00477(125/346)	新車 0.004333(124/358)	搭車 0.003386(91/292)	今年5月 0.003204(101/354)	
縣長參選人 0.00481(139/253)	歐洲聯盟 0.004739(135/152)	國際機場 0.004421(118/308)	俄羅斯總統 0.004032(114/114)	資料顯示 0.003607(102/536)	模範父親 0.003572(100/121)	總統蒲亭 0.003006(84/85)	業者說 0.002617(73/154)	烏克蘭危機 0.002405(75/105)	武裝分子 0.00237(65/115)	
行動裝置 0.010102(246/422)	宣布參選 0.004301(105/273)	行動通訊 0.003205(75/148)	成為全球 0.002678(61/246)	台北市民 0.002394(61/150)	就業市場 0.002353(54/150)	大企業 0.002272(56/174)	中國市場 0.002191(51/186)	科技大學 0.00211(59/370)	今7日 0.00211(55/88)	
近年來 0.005074(137/320)	食品安全 0.004083(98/168)	協會理事長 0.002497(57/388)	統一集團 0.002339(61/103)	國際知名 0.002101(53/142)	勞動力發展 0.002101(56/152)	台南市政府 0.002061(46/206)	性別者 0.001744(44/44)	勞動條件 0.001705(43/92)	服務人員 0.001665(44/172)	
高雄發生 0.004382(121/278)	警方表示 0.002537(65/132)	總統指出 0.002076(52/94)	記者會表示 0.001845(48/210)	控股公司 0.001768(47/112)	縣長葉世文 0.00173(41/306)	安心專線 0.001653(43/43)	找到出路 0.001615(43/44)	張老師專線 0.001576(41/41)	請幫幫 0.001576(41/41)	
國是會議 0.015411(468/468)	經貿國是 0.01452(440/440)	勞動部 0.0099(289/460)	受訪者 0.006105(186/294)	結果顯示 0.00495(153/192)	工作機會 0.004686(146/320)	洽詢電話 0.004389(130/302)	做事 0.003894(121/280)	民調顯示 0.00363(108/194)	民意調查 0.003234(98/108)	
下午4時 0.006285(145/536)	實價登錄 0.005231(124/248)	搭車 0.002798(68/292)	世界展望會 0.002636(65/82)	今年1月 0.002595(58/236)	人認為 0.002109(54/254)	送禮 0.002068(48/190)	來台灣 0.002068(47/286)	基隆市政府 0.001947(47/125)	台灣世界 0.001825(43/81)	
經濟成長 0.020869(765/864)	總統馬英九 0.015293(558/1040)	經濟成長率 0.010177(381/416)	大陸經濟 0.009501(355/492)	全球經濟 0.005278(197/366)	中國大陸 0.004223(151/4584)	經濟合作 0.003005(107/480)	季經濟 0.002815(102/183)	今年經濟 0.002545(94/100)	成長幅度 0.002382(89/234)	
中國大陸 0.08791(3434/4584)	國民黨團 0.014043(549/555)	監察委員 0.008988(347/506)	條例草案 0.008324(326/348)	大陸國家 0.007635(305/634)	國家主席 0.007226(284/624)	美國總統 0.006639(258/462)	立法院黨團 0.006128(240/242)	監督條例 0.005975(235/689)	人事同意權 0.005822(230/405)	
電力公司 0.003224(84/152)	和平電廠 0.002594(70/70)	財產安全 0.002557(70/124)	生命財產 0.002409(59/154)	藍色大門 0.00215(58/58)	月餅禮盒 0.002001(55/162)	主辦單位 0.00189(52/532)	蛋黃酥 0.001816(43/117)	回應表示 0.001742(46/146)	明星高中 0.001631(44/98)	
8月15日 0.005279(128/216)	公民基金會 0.005081(124/176)	地球公民 0.004962(128/176)	8月2日 0.004327(106/244)	今年4月 0.00389(105/366)	季獲利 0.003374(85/202)	8月27日 0.002739(68/146)	地方法院 0.002263(53/218)	軸電腦 0.002104(53/53)	8月21日 0.002064(50/134)	
媒體報導 0.022801(623/830)	今年7月 0.004508(133/302)	歡迎民眾 0.00313(73/204)	公司表示 0.003055(83/290)	嘉義市長 0.00272(75/106)	購物中心 0.002683(70/358)	人士指出 0.002608(73/370)	美國市場 0.002422(60/133)	消費市場 0.002348(62/120)	市府團隊 0.00231(63/170)	
麥德姆颱風 0.005992(151/322)	飛彈擊落 0.003254(81/198)	人力需求 0.003016(75/112)	移轉訂價 0.00254(64/64)	陸軍司令部 0.002302(57/130)	智慧手機 0.002262(52/348)	航空公司 0.002103(52/808)	澎湖空難 0.001865(45/226)	合作夥伴 0.001865(52/298)	創新獎 0.001707(42/100)	
標準時間 0.076978(3482/3482)	台北標準 0.076934(3480/3480)	時間上午 0.039395(1782/1782)	時間下午 0.038865(1758/1758)	2014年6月 0.019344(877/920)	中央社2014年 0.01888(854/854)	達志影像 0.017332(783/828)	週四台北 0.015497(703/804)	新鮮事 0.013618(623/1324)	天下新鮮 0.013618(614/1308)	
大城市 0.002637(62/172)	台達電 0.002028(50/73)	健康管理 0.001785(42/98)	瑞銀證券 0.001704(42/52)	約新台幣 0.001663(46/228)	業者說 0.001542(36/154)	博士學位 0.001501(35/50)	停班停課 0.001501(37/54)	幫助弱勢 0.00146(42/83)	小鴨 0.00146(36/68)	
達人 0.007421(181/414)	世界遺產 0.003611(90/90)	當地時間 0.002929(71/250)	旗魚酥 0.002648(66/66)	8月1日 0.002487(64/438)	新興亞洲 0.002247(58/110)	自治政府 0.002046(50/51)	文化遺產 0.002006(48/86)	財務狀況 0.001966(52/114)	台灣時間 0.001765(46/94)	
新藥 0.015836(454/454)	大陸市場 0.010837(327/674)	教宗方濟 0.006642(190/190)	今年4月 0.003251(91/366)	研究人員 0.002937(83/174)	天主教教宗 0.002727(78/78)	臨床試驗 0.002657(71/122)	市場規模 0.002273(68/170)	台灣生技 0.002063(59/85)	中國領空 0.001958(56/90)	
強陣風 0.006192(155/311)	河靜鋼鐵 0.005114(128/128)	合作關係 0.004674(108/260)	新竹米粉 0.004355(109/109)	7月1日 0.004115(106/602)	台塑集團 0.004075(100/292)	櫃買指數 0.002557(64/106)	期貨市場 0.002238(55/78)	施工單位 0.002078(49/120)	大漲 0.001998(51/130)	
當地居民 0.006329(158/356)	開罰 0.00328(91/208)	麥德姆颱風 0.002624(76/322)	附加價值 0.002586(66/214)	趴趴 0.002547(66/66)	趴走 0.002238(57/58)	幹細胞 0.002238(57/92)	研究團隊 0.001775(39/108)	美國紐約 0.001775(46/86)	上班上課 0.001698(42/146)	
新台灣 0.002236(58/64)	台中市政府 0.002159(53/312)	台灣國策 0.002159(56/56)	國策智庫 0.002082(54/54)	行政院副院長 0.001889(47/100)	中元普渡 0.001619(40/114)	獨立董事 0.001504(39/89)	今天舉行 0.001465(36/176)	永慶房產 0.001427(36/65)	房產集團 0.001427(31/63)	
新聞相關 0.095933(2418/2914)	相關影音 0.09296(2369/2756)	國民黨立委 0.01439(356/486)	副縣長 0.007176(196/562)	受訪表示 0.005867(139/302)	都市更新 0.005471(129/342)	桃園機場 0.005431(136/370)	縣長吳志揚 0.005392(142/374)	召開記者會 0.005312(123/822)	年底選舉 0.004599(111/272)	
銀髮俱樂部 0.002121(56/56)	淡海輕軌 0.001856(49/58)	市民活動中心 0.001856(50/51)	度假飯店 0.001704(45/45)	市長提名人 0.001666(47/105)	社會福利 0.001553(45/286)	高房價 0.001553(44/164)	生活空間 0.001477(40/70)	新人們 0.001401(36/87)	民進黨新北 0.001401(41/95)	
國際社會 0.004253(104/252)	資料照片 0.003411(85/164)	國防部長嚴明 0.00333(85/141)	今年2月 0.002889(72/266)	發布新聞稿 0.002849(66/180)	國民黨發言人 0.002688(69/185)	陳以信表示 0.002408(65/169)	新任總統 0.002327(60/140)	選舉結果 0.002127(53/85)	新聞稿指出 0.002087(52/108)	
2014年8月 0.004946(136/796)	週三台北 0.004141(111/610)	上午6時 0.004103(105/624)	房祖名 0.003183(83/83)	國泰世華 0.002607(68/193)	司法互助 0.002301(59/79)	愛滋感染 0.002186(57/89)	行政機關 0.002109(51/106)	大陸網友 0.001994(54/92)	公共托育 0.001879(51/95)	
經濟發展 0.007393(203/1042)	台灣人民 0.006552(179/464)	總統說 0.005161(144/350)	民主法治 0.004648(132/149)	雲端服務 0.003624(96/176)	總統表示 0.003624(97/240)	兩岸人民 0.003367(93/194)	大陸當局 0.003258(97/134)	中國人民 0.003185(85/334)	六四事件 0.002892(80/84)	
暑假期間 0.007523(188/302)	觀光產業 0.004375(104/384)	交通管制 0.003312(82/125)	全球市場 0.00323(70/174)	7月3日 0.003148(81/140)	研發中心 0.002535(63/95)	財政收入 0.002085(51/59)	民進黨提名 0.002045(54/125)	朱立倫表示 0.001922(61/206)	7月25日 0.001718(41/114)	
產業發展 0.004222(95/754)	自然生態 0.002412(58/138)	台南市政府 0.002252(54/206)	喝酒 0.002171(53/156)	海運快遞 0.002171(55/72)	粉絲專頁 0.00197(52/102)	生態園區 0.00193(49/76)	賴市長 0.00189(45/120)	台北國際 0.001769(44/332)	人工生殖 0.001729(43/203)	
中華電信 0.011346(305/1046)	金融機構 0.00558(154/352)	集團旗下 0.005432(147/382)	公司董事長 0.004613(128/320)	科技公司 0.004576(125/262)	元大寶來 0.003795(102/260)	外籍勞工 0.003683(99/200)	風景區管理處 0.003088(84/110)	公司總經理 0.002902(73/228)	雲嘉南 0.002604(72/88)	
航空公司 0.022615(600/808)	長榮航空 0.005654(145/186)	桃園機場 0.004863(125/370)	國泰人壽 0.003807(104/159)	空氣品質 0.002752(76/186)	河野談話 0.00245(66/68)	產險公司 0.002375(67/76)	今年營收 0.002337(66/145)	到高雄 0.002262(57/240)	容積移轉 0.002149(57/78)	
馬總統 0.066355(1752/2302)	人事同意權 0.006413(165/405)	壽險公司 0.005433(140/273)	人士指出 0.00415(104/370)	台灣省政府 0.003395(90/102)	海外投資 0.002943(79/167)	台聯立委 0.002528(65/140)	地方人士 0.002339(56/158)	重建家園 0.001887(50/200)	補充水分 0.001811(46/310)	
馬總統 0.004788(140/2302)	就職典禮 0.003296(96/176)	感染者 0.003296(95/150)	疾病管制 0.002984(86/86)	汽車公司 0.002776(80/102)	新任總統 0.002672(75/140)	管制署 0.002637(76/76)	登革熱疫情 0.002429(69/71)	新創公司 0.002047(57/84)	總統馬英九 0.002012(46/1040)	
太陽光電 0.005334(142/174)	預計今年 0.003456(96/280)	今年度 0.003381(89/268)	願景 0.003081(85/326)	產業發展 0.002855(80/754)	主辦單位 0.00248(66/532)	今年9月 0.002179(56/136)	緊急應變 0.001803(48/130)	台北車站 0.001766(50/132)	光電系統 0.001465(39/39)	
